CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Daphne,1,19648,119648
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Fairhope,1,25240,125240
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Foley,1,26992,126992
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Gulf Shores,1,32272,132272
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Moline,17,49867,1749867
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Rock Island,17,65078,1765078
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Davenport,19,19000,1919000
19420,"Dayton, TN",Micropolitan Statistical Area,Dayton,47,19700,4719700
19430,"Dayton-Kettering, OH",Metropolitan Statistical Area,Dayton,39,21000,3921000
19430,"Dayton-Kettering, OH",Metropolitan Statistical Area,Kettering,39,40040,3940040
19460,"Decatur, AL",Metropolitan Statistical Area,Decatur,1,20104,120104
19500,"Decatur, IL",Metropolitan Statistical Area,Decatur,17,18823,1718823
19540,"Decatur, IN",Micropolitan Statistical Area,Decatur,18,17074,1817074
19580,"Defiance, OH",Micropolitan Statistical Area,Defiance,39,21308,3921308
19620,"Del Rio, TX",Micropolitan Statistical Area,Del Rio,48,19792,4819792
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Daytona Beach,12,16525,1216525
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,DeLand,12,16875,1216875
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Deltona,12,17200,1217200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Ormond Beach,12,53150,1253150
19700,"Deming, NM",Micropolitan Statistical Area,Deming,35,20270,3520270
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Aurora,8,4000,804000
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Broomfield,8,9280,809280
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Centennial,8,12815,812815
